hour_lst,count,sum,mean
-6,1141,-36.95000000000002,-0.03238387379491676
-5,176,-8.190000000000001,-0.046534090909090914
-4,112,-4.280000000000001,-0.03821428571428572
-3,67,1.5899999999999996,0.023731343283582083
-2,63,-0.480000000000001,-0.007619047619047635
-1,76,-0.5500000000000008,-0.007236842105263169
0,55,0.36999999999999966,0.0067272727272727215
1,91,-4.500000000000001,-0.04945054945054946
2,66,4.529999999999999,0.06863636363636362
3,29,1.44,0.0496551724137931
4,25,0.9699999999999998,0.03879999999999999
5,17,-0.7600000000000002,-0.04470588235294119
6,31,4.409999999999999,0.14225806451612902
7,35,-0.7600000000000007,-0.021714285714285735
8,40,-1.5400000000000005,-0.03850000000000001
9,32,-0.44000000000000006,-0.013750000000000002
10,68,-4.300000000000001,-0.06323529411764707
11,19,-0.9200000000000004,-0.04842105263157897
12,16,-1.3,-0.08125
13,8,-0.49,-0.06125
14,7,-0.29000000000000004,-0.04142857142857143
15,1,-0.09,-0.09
16,2,0.08000000000000002,0.04000000000000001
