model,bin,p_mean,freq,n
model,0,0.04094355311577347,0.04846398305084746,18880
model,1,0.14694945609654153,0.14992572277454005,8751
model,2,0.24956832698855233,0.25300905819580594,8059
model,3,0.34927524701238183,0.3615850302696753,7268
model,4,0.44620673415585477,0.47147618114095274,5101
model,5,0.5427149869657502,0.4873843566021867,2378
model,6,0.642960289744748,0.6318312559923298,1043
model,7,0.7461120346689649,0.7745535714285714,448
model,8,0.8455960337063844,0.9183673469387755,294
model,9,0.9493884307386413,0.9210526315789473,190
market,0,0.03791829146640066,0.024757413621111817,22054
market,1,0.14479703745905143,0.129896026207093,7021
market,2,0.24756659022755334,0.2534838595872288,5669
market,3,0.3487180682453851,0.3442103300391572,5363
market,4,0.4474778304805115,0.44421530212414934,4849
market,5,0.5464466099368652,0.5931924238265166,3643
market,6,0.6438425443169968,0.6438998957247133,1918
market,7,0.7423446327683615,0.7344632768361582,708
market,8,0.8467995444191344,0.8451025056947609,439
market,9,0.9524933155080214,0.9719251336898396,748
blend,0,0.04289823610840837,0.022806925772872313,19117
blend,1,0.14750028296893175,0.11443862445912092,8782
blend,2,0.24984597408312637,0.24653587597750035,7289
blend,3,0.34882552676168954,0.36084142394822005,6798
blend,4,0.4465653046519133,0.49661272111403837,5314
blend,5,0.5429610801596981,0.6200787401574803,3048
blend,6,0.6418869593532079,0.6884057971014492,966
blend,7,0.7486551088092325,0.8755868544600939,426
blend,8,0.8497475725679524,0.9557739557739557,407
blend,9,0.9426330732476333,0.9886792452830189,265
