model,bin,p_mean,freq,n
model,0,0.021465996692245474,0.018423151851269,368558
model,1,0.144863002474766,0.1438142217071137,70751
model,2,0.2503371089495311,0.2481645183363231,54073
model,3,0.34827475651085843,0.349619698336986,54299
model,4,0.4431265385105112,0.4521457100813838,33299
model,5,0.5409418111036485,0.5706504065040651,12300
model,6,0.6453645681992454,0.6600556070435588,5395
model,7,0.7487449103387102,0.7984665936473165,3652
model,8,0.8519998640071931,0.8694613955956487,3769
model,9,0.980169318152498,0.9834734586218266,24264
nbm,0,0.025168532125841768,0.03870706819313091,321440
nbm,1,0.16139532917080754,0.15311720698254364,104260
nbm,2,0.26795715790086055,0.2588098821168799,63792
nbm,3,0.33953913213708087,0.29737034331628925,82140
nbm,4,0.4504897751090172,0.8420948616600791,15180
nbm,5,0.5473239677779754,0.14726594863297432,4828
nbm,6,0.6316295339117076,0.5351570848471896,32753
nbm,7,0.7381147461169304,0.8189539561913277,2237
nbm,8,0.8787180977498498,0.8255813953488372,516
nbm,9,0.9763769403346546,0.7585563161169881,3214
persistence,0,0.03034022834202552,0.06582939537854637,338162
persistence,1,0.1297360085509695,0.16826057856771026,134470
persistence,2,0.24676455748958503,0.17318897295416993,22998
persistence,3,0.3250642488386545,0.30721017270144746,66531
persistence,4,0.44092245672730007,0.18801668562760712,13185
persistence,5,0.5437067510819499,0.314329000877123,12541
persistence,6,0.6590038059647507,0.34889643463497455,7068
persistence,7,0.7475325725393474,0.07957057151878749,3167
persistence,8,0.8424684657496541,0.49623233908948194,6370
persistence,9,0.9684156036009501,0.9065640946342972,25868
residual_hist,0,0.02896901949408682,0.04493809469396327,323801
residual_hist,1,0.14134652092885508,0.12201492832661849,126337
residual_hist,2,0.26071130052350633,0.2995863037537973,65507
residual_hist,3,0.322954438642373,0.32947791164658635,62250
residual_hist,4,0.43584199165293824,0.32671373933509856,6798
residual_hist,5,0.5414320347591116,0.4249828728020096,8758
residual_hist,6,0.6679290468157889,0.4448979591836735,5390
residual_hist,7,0.7490468056825059,0.10841283607979185,2306
residual_hist,8,0.8315641287921893,0.622611778609415,5077
residual_hist,9,0.9698630360669754,0.9615097779250912,24136
