feature,gain,share
gfs_nx_age_h,953289.8882691695,0.1402752334442814
nbs_txn_minus_anchor,920840.6596624553,0.13550037621154798
hour_lst,673035.5823587049,0.09903621615360896
gfs_nx_minus_anchor,613955.2981212935,0.09034263745804083
run_max_minus_anchor,412567.7005817235,0.060708742663523045
anchor_is_obs,368733.1349513531,0.05425854949311916
cur_minus_runmax,247616.0905204937,0.03643635092509762
nbs_xnd,213033.762500476,0.03134761118732233
nbs_sky_remaining,205021.93756492343,0.030168682692455068
station_id,173042.53643655777,0.025462959896176786
doy_sin,158362.71146428958,0.02330284480396186
doy_cos,157982.40342793148,0.023246883024405245
high_normal,157733.39067011327,0.023210241155899775
nbs_p06_remaining,133957.36520907003,0.019711633268659393
nbs_txn_age_h,129664.17610912584,0.019079896678744917
yday_metar_max_f,113925.25834068283,0.01676393760764093
nbs_txn,112609.50248454325,0.016570326029309003
anchor,101345.99971282482,0.014912917826257772
obs_count,93208.78442660719,0.013715538321967619
nbs_tmp_max_today,91351.2066232562,0.01344219842482565
nbs_tmp_max_remaining,83119.47117470205,0.012230910414843674
gfs_nx,75951.28637267835,0.011176122350007192
d_temp_3h,75600.57703674817,0.011124515976569185
run_max6_f,66147.6589749679,0.009733532704677517
cur_dewpoint_f,55463.60141613439,0.00816138902976807
cur_relh,43203.16290041385,0.006357283168491643
d_temp_1h,39874.20716733765,0.005867432129128588
cur_depression_f,39640.05681566056,0.005832977242271244
run_max_f,37758.93703034008,0.005556173176404577
nbs_tmp_next,35312.66968796402,0.005196208461849636
cur_temp_f,33447.7647700347,0.00492179039035525
cur_vsby,29194.54468099773,0.004295935182803624
yday_cli_minus_metar,27175.039719636086,0.0039987679376844755
yday_cli_high,25330.2641858086,0.0037273118760558417
d_alti_3h,25158.356490297243,0.0037020159063665932
cur_sky,19942.606250240467,0.0029345257740214085
cur_sknt,19934.42586812505,0.002933322042580402
cur_age_min,11100.632112946361,0.0016334420202965215
nbs_run_age_h,7704.352455496788,0.0011336843624703186
anchor_is_nbm,5458.13892246224,0.0008031572776984327
cur_p01i,3898.0943966284394,0.0005735989736214471
cur_precip,2088.2192833796144,0.0003072784585922466
cur_gust,2071.7014050483704,0.0003048478765967464
cur_temp_precise,0.0,0.0
