station,model,nll,rps,brier,mae_median,exact_hit,cov50,cov90,width90,n
KAUS,model,1.507939159191599,0.7639419512335295,0.6327230682634587,1.065372907153729,0.43158295281582953,0.7687214611872146,0.958599695585997,5.663089802130898,13140.0
KAUS,nbm,2.148888196530751,1.1211203655811595,0.8402700833938881,1.5099695585996955,0.271765601217656,0.6815068493150684,0.9356925418569254,7.31544901065449,13140.0
KAUS,persistence,2.21767774626962,2.190306625961987,0.7483144290127686,3.2754946727549465,0.31293759512937597,0.6300608828006088,0.913013698630137,10.498934550989345,13140.0
KAUS,residual_hist,1.831532767284421,1.167857069352234,0.6951574819688062,1.5936834094368342,0.3633942161339422,0.7193302891933029,0.9363774733637747,7.966666666666667,13140.0
KDEN,model,1.6563374617024087,0.9392536575945163,0.6525426473249004,1.3019786910197868,0.40966514459665143,0.710730593607306,0.9474885844748858,6.1251902587519025,13140.0
KDEN,nbm,2.2783020437320154,1.2687416775751101,0.8699882699717013,1.7248097412480974,0.21933028919330289,0.6373668188736682,0.889117199391172,7.140715372907153,13140.0
KDEN,persistence,2.321664133188871,2.5219274013094433,0.7524469202174852,3.70882800608828,0.3338660578386606,0.6103500761035008,0.8960426179604262,9.937595129375952,13140.0
KDEN,residual_hist,1.8579299837800018,1.2057761231655166,0.6869255114223358,1.621841704718417,0.3778538812785388,0.7045662100456621,0.9302130898021309,7.966666666666667,13140.0
KHOU,model,1.4218975682799417,0.6833329569371867,0.61793788146582,0.9541571319603356,0.4555301296720061,0.7758962623951182,0.9648360030511061,5.12883295194508,13110.0
KHOU,nbm,1.9848276381725578,1.0002389882544453,0.8367349943798275,1.3751334858886346,0.2494279176201373,0.7157131960335622,0.9459954233409611,6.8466819221967965,13110.0
KHOU,persistence,1.91806186784901,1.3895966219807403,0.7000524700101051,1.9205949656750572,0.36094584286803966,0.8061022120518688,0.9675057208237986,10.871700991609458,13110.0
KHOU,residual_hist,1.6989758302288602,0.9981627957125937,0.6705902907452307,1.351868802440885,0.3851258581235698,0.7669717772692601,0.9680396643783371,7.966666666666667,13110.0
KLAX,model,1.4150359666021548,0.7302177047843673,0.5882149523288334,1.0209284627092847,0.4707001522070015,0.7799847792998478,0.9628614916286149,5.321156773211568,13140.0
KLAX,nbm,2.2700408147291307,1.1966418161488455,0.8903965368285108,1.645738203957382,0.20753424657534247,0.5770167427701675,0.8582952815829528,5.720700152207002,13140.0
KLAX,persistence,1.8523494700140075,1.3657044321725262,0.676085519845084,1.8946727549467275,0.38424657534246576,0.7789193302891934,0.9740487062404871,10.179147640791477,13140.0
KLAX,residual_hist,1.8247727843863841,1.326996362555776,0.6646744691920748,1.8436834094368342,0.4,0.6898782343987824,0.9429223744292238,7.966666666666667,13140.0
KMDW,model,1.5467359545252903,0.7917550379247142,0.6402310871058212,1.0929223744292238,0.4377473363774734,0.7760273972602739,0.9599695585996956,6.015068493150685,13140.0
KMDW,nbm,2.1292341034492677,1.1365454102228822,0.8618791678251263,1.548021308980213,0.23660578386605785,0.641324200913242,0.9234398782343988,7.154490106544901,13140.0
KMDW,persistence,2.03923288545972,1.649606674177317,0.7269671447951177,2.291019786910198,0.3441400304414003,0.7249619482496195,0.9292998477929985,10.275342465753425,13140.0
KMDW,residual_hist,1.8560299159734353,1.1909319042166284,0.6986550797687106,1.6352359208523592,0.35928462709284625,0.7082191780821918,0.939117199391172,7.966666666666667,13140.0
KMIA,model,1.2290911221064875,0.5285464210647772,0.5632540964184252,0.7278413424866514,0.5225019069412662,0.8128146453089244,0.9650648360030512,4.3752860411899315,13110.0
KMIA,nbm,1.7522664014850249,0.735903352753203,0.7811845637706881,1.0143401983218916,0.3308924485125858,0.7780320366132724,0.9453852021357743,5.335392829900839,13110.0
KMIA,persistence,1.764407380893488,1.1214039712330588,0.676435809604383,1.448512585812357,0.37971014492753624,0.8676582761250954,0.9903127383676583,10.412662090007627,13110.0
KMIA,residual_hist,1.6365591916454818,1.008345461590524,0.6542921986820965,1.3903127383676583,0.3916857360793288,0.7843630816170862,0.9777269260106789,7.966666666666667,13110.0
KNYC,model,1.5957381673719222,0.8179822699329274,0.6571058939472211,1.1287671232876713,0.4134703196347032,0.7495433789954338,0.9476407914764079,5.745205479452054,13140.0
KNYC,nbm,2.1834484298821892,1.1821127449970634,0.8718413100613338,1.647640791476408,0.21095890410958903,0.6124809741248097,0.8994672754946728,6.688736681887367,13140.0
KNYC,persistence,2.039633072571916,1.5623814869484083,0.7415704695469203,2.1646118721461187,0.32884322678843225,0.728234398782344,0.939193302891933,10.154642313546423,13140.0
KNYC,residual_hist,1.9183928199071265,1.265263175439289,0.7181834387076408,1.7427701674277016,0.34269406392694063,0.6764840182648402,0.9307458143074582,7.966666666666667,13140.0
KPHL,model,1.5658903634611072,0.7921312671973256,0.6601308194020677,1.1276255707762557,0.4015220700152207,0.7464231354642313,0.9583713850837139,5.640410958904109,13140.0
KPHL,nbm,2.183477810069018,1.155065460140837,0.8729368049532166,1.6028919330289193,0.22252663622526636,0.6137747336377474,0.9032724505327245,6.7375951293759515,13140.0
KPHL,persistence,2.0748497557620755,1.6126450177089822,0.7512974114941393,2.3076103500761036,0.3177321156773212,0.723896499238965,0.9449010654490106,10.480517503805174,13140.0
KPHL,residual_hist,1.883999588775194,1.1859370216708904,0.7218284372242625,1.621537290715373,0.3468036529680365,0.7059360730593607,0.9338660578386606,7.966666666666667,13140.0
